age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income
39,13,4,1,2174,0,40,0
50,13,4,1,0,0,13,0
38,9,4,1,0,0,40,0
53,7,2,1,0,0,40,0
28,13,2,0,0,0,40,0
37,14,4,0,0,0,40,0
49,5,2,0,0,0,16,0
52,9,4,1,0,0,45,1
31,14,4,0,14084,0,50,1
42,13,4,1,5178,0,40,1
37,10,2,1,0,0,80,1
30,13,1,1,0,0,40,1
23,13,4,0,0,0,30,0
32,12,2,1,0,0,50,0
40,11,1,1,0,0,40,1
34,4,0,1,0,0,45,0
25,9,4,1,0,0,35,0
32,9,4,1,0,0,40,0
38,7,4,1,0,0,50,0
43,14,4,0,0,0,45,1
40,16,4,1,0,0,60,1
54,9,2,0,0,0,20,0
35,5,2,1,0,0,40,0
43,7,4,1,0,2042,40,0
59,9,4,0,0,0,40,0
56,13,4,1,0,0,40,1
19,9,4,1,0,0,40,0
54,10,1,1,0,0,60,1
39,9,4,1,0,0,80,0
49,9,4,1,0,0,40,0
23,12,4,1,0,0,52,0
20,10,2,1,0,0,44,0
45,13,4,1,0,1408,40,0
30,10,4,1,0,0,40,0
22,10,2,1,0,0,15,0
48,7,4,1,0,0,40,0
21,10,4,1,0,0,40,0
19,9,4,0,0,0,25,0
31,10,4,1,0,0,38,1
48,12,4,1,0,0,40,0
31,5,4,1,0,0,43,0
53,13,4,1,0,0,40,0
24,13,4,1,0,0,50,0
49,9,4,0,0,0,40,0
25,9,4,1,0,0,35,0
57,13,2,1,0,0,40,1
53,9,4,1,0,0,38,0
44,14,4,0,0,0,40,0
41,11,4,1,0,0,40,0
29,11,4,1,0,0,43,0
25,10,3,0,0,0,40,0
18,9,4,0,0,0,30,0
47,15,4,0,0,1902,60,1
50,13,4,1,0,0,55,1
47,9,4,1,0,0,60,0
43,10,4,1,0,0,40,1
46,3,4,1,0,0,40,0
35,11,4,1,0,0,40,0
41,9,4,1,0,0,48,0
30,9,4,1,5013,0,40,0
30,13,4,1,2407,0,40,0
32,4,4,1,0,0,40,0
48,9,4,1,0,0,40,0
42,16,4,1,0,0,45,1
29,10,4,1,0,0,58,0
36,9,4,1,0,0,40,0
28,10,4,0,0,0,40,0
53,9,4,0,0,0,40,1
49,10,4,1,0,0,50,1
25,10,4,1,0,0,40,0
19,10,4,1,0,0,32,0
31,13,2,0,0,0,40,0
29,13,4,1,0,0,70,1
23,10,4,1,0,0,40,0
79,10,4,1,0,0,20,0
27,9,4,1,0,0,40,0
40,12,4,1,0,0,40,0
67,6,4,1,0,0,2,0
18,7,4,0,0,0,22,0
31,4,4,1,0,0,40,0
18,9,4,1,0,0,30,0
52,13,4,1,0,0,40,0
46,9,4,0,0,0,40,0
59,9,4,1,0,0,48,0
44,9,4,0,14344,0,40,1
53,9,4,0,0,0,35,0
49,9,4,1,0,0,40,1
33,14,4,1,0,0,50,0
30,5,4,1,0,0,40,0
43,16,4,0,0,0,50,1
57,11,4,1,0,0,40,0
37,10,4,0,0,0,40,0
28,10,2,0,0,0,25,0
30,9,1,0,0,1573,35,0
34,13,4,1,0,0,40,1
29,10,4,1,0,0,50,0
48,16,4,1,0,1902,60,1
37,10,4,1,0,0,48,1
48,12,4,0,0,0,40,0
32,9,2,1,0,0,40,0
76,14,4,1,0,0,40,1
44,13,4,1,15024,0,60,1
47,14,4,0,0,0,50,0
20,10,4,0,0,0,40,0
29,9,4,1,0,0,40,0
32,9,4,1,7688,0,40,1
17,6,4,0,34095,0,32,0
30,7,4,1,0,0,40,0
31,9,4,0,0,0,40,0
42,9,4,1,0,0,40,0
24,13,4,1,0,0,40,0
38,15,4,1,0,0,40,1
56,9,4,1,0,1887,50,1
28,10,4,0,4064,0,25,0
36,9,4,0,0,0,40,0
53,5,4,1,0,0,50,0
56,10,4,1,0,0,50,0
49,11,2,1,0,0,40,1
55,10,4,1,0,0,56,0
22,9,4,1,0,0,41,0
21,10,4,0,0,0,40,0
40,13,4,1,0,0,60,0
30,13,2,1,0,0,40,0
29,13,4,1,0,0,50,1
19,10,2,1,0,0,35,0
47,13,4,0,0,0,40,1
20,10,4,0,0,1719,28,0
31,12,4,1,0,0,40,1
35,9,4,1,0,0,40,0
39,10,4,1,0,0,40,0
28,12,4,0,0,0,60,0
24,9,4,0,0,1762,40,0
38,9,4,1,4386,0,35,0
37,13,4,1,0,0,50,0
46,12,2,0,0,0,36,0
38,14,4,1,0,0,40,1
43,9,4,1,0,0,60,0
27,11,4,0,0,0,35,0
20,10,4,1,0,0,20,0
49,10,1,1,0,0,40,1
61,9,4,1,0,0,40,0
27,10,4,0,0,0,40,0
19,10,4,1,0,0,30,0
45,11,4,0,0,1564,40,1
70,10,4,1,0,0,40,0
31,9,2,0,0,0,30,0
22,10,4,1,0,0,24,0
36,9,4,0,0,0,24,0
64,7,4,1,0,2179,40,0
43,10,4,0,0,0,40,0
47,10,4,0,0,0,38,0
34,9,4,0,0,0,40,0
33,13,1,0,0,0,40,0
21,9,4,1,0,0,35,0
52,9,4,1,0,0,45,1
48,9,4,1,0,0,46,0
23,13,4,1,0,0,40,0
71,10,2,1,0,1816,2,0
29,9,4,1,0,0,60,0
42,13,2,1,0,0,50,0
68,2,4,0,0,0,20,0
25,9,4,0,0,0,40,0
44,14,1,0,0,0,40,0
28,9,1,0,0,0,40,0
45,14,4,1,0,0,40,1
36,10,4,0,0,0,40,0
39,12,4,1,0,0,42,0
46,14,4,1,0,0,40,0
18,7,4,1,0,0,16,0
66,11,4,0,0,0,20,0
27,9,4,1,0,1980,40,0
28,9,4,1,0,0,40,0
51,10,4,1,0,1977,40,1
27,13,4,1,0,0,50,0
28,13,4,1,0,0,40,1
27,9,4,0,0,0,25,0
21,9,2,1,0,0,40,0
34,9,2,1,0,0,40,0
18,9,4,1,0,0,12,0
33,13,4,1,0,0,65,0
44,10,2,1,0,0,38,1
43,10,4,0,0,0,40,0
30,10,2,1,0,0,45,0
40,4,4,1,0,0,40,1
37,10,4,1,0,0,42,1
34,9,2,1,0,0,40,0
41,13,4,0,0,0,40,0
53,13,4,0,0,0,50,0
31,14,4,0,0,0,50,0
58,16,4,1,0,0,1,1
38,10,2,0,0,0,28,0
24,10,4,1,0,0,40,0
41,13,2,1,0,0,40,0
47,10,4,1,0,0,45,0
41,13,4,1,0,0,24,0
23,3,4,1,0,0,40,0
36,10,4,1,0,0,40,0
40,14,4,0,14084,0,55,1
35,14,4,1,7298,0,40,1
24,9,4,1,0,0,40,0
26,14,4,0,0,1876,40,0
19,9,4,1,0,0,40,0
51,13,4,1,0,0,50,1
42,10,4,0,0,1340,40,0
37,9,4,0,0,0,35,0
18,7,4,0,0,0,40,0
36,13,2,1,7298,0,36,1
35,9,4,1,0,0,60,0
58,9,4,0,15024,0,35,1
17,7,4,0,0,0,12,0
44,9,2,1,0,0,40,0
37,9,4,1,0,0,40,1
35,10,0,0,0,0,40,0
60,9,1,1,0,0,40,0
54,4,4,1,0,0,40,1
37,13,2,1,0,0,60,1
50,12,4,0,0,0,40,0
38,13,4,1,0,0,50,0
45,13,4,1,0,0,55,0
