age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income
34,13,4,0,0,0,55,1
30,9,2,1,0,0,46,0
38,13,2,0,15020,0,45,1
71,16,4,1,0,0,10,1
45,9,4,0,0,0,40,0
41,9,2,0,0,0,32,0
72,9,4,1,0,0,25,0
45,12,4,0,0,0,48,0
31,14,3,0,0,0,30,0
39,12,4,0,0,0,20,1
37,12,4,0,0,0,40,0
43,9,4,1,0,0,40,0
65,15,4,1,1086,0,60,0
43,10,4,0,0,0,40,0
43,10,4,1,0,0,50,0
32,6,0,1,0,0,40,0
43,11,4,1,0,0,45,0
32,14,1,1,0,0,11,0
53,14,4,1,0,0,40,1
22,10,4,1,0,0,40,0
27,12,4,0,0,0,38,0
40,9,4,1,0,0,40,1
58,9,4,0,0,0,40,0
22,9,4,1,0,0,20,0
52,9,4,0,15024,0,40,1
