#,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,80,82,83,100,100,80,1,False
4,Mega Venusaur,Grass,Poison,80,100,123,122,120,80,1,False
5,Charmander,Fire,,39,52,43,60,50,65,1,False
6,Charmeleon,Fire,,58,64,58,80,65,80,1,False
7,Charizard,Fire,Flying,78,84,78,109,85,100,1,False
8,Mega Charizard X,Fire,Dragon,78,130,111,130,85,100,1,False
9,Mega Charizard Y,Fire,Flying,78,104,78,159,115,100,1,False
10,Squirtle,Water,,44,48,65,50,64,43,1,False
11,Wartortle,Water,,59,63,80,65,80,58,1,False
12,Blastoise,Water,,79,83,100,85,105,78,1,False
13,Mega Blastoise,Water,,79,103,120,135,115,78,1,False
14,Caterpie,Bug,,45,30,35,20,20,45,1,False
15,Metapod,Bug,,50,20,55,25,25,30,1,False
16,Butterfree,Bug,Flying,60,45,50,90,80,70,1,False
17,Weedle,Bug,Poison,40,35,30,20,20,50,1,False
18,Kakuna,Bug,Poison,45,25,50,25,25,35,1,False
19,Beedrill,Bug,Poison,65,90,40,45,80,75,1,False
20,Mega Beedrill,Bug,Poison,65,150,40,15,80,145,1,False
21,Pidgey,Normal,Flying,40,45,40,35,35,56,1,False
22,Pidgeotto,Normal,Flying,63,60,55,50,50,71,1,False
23,Pidgeot,Normal,Flying,83,80,75,70,70,101,1,False
24,Mega Pidgeot,Normal,Flying,83,80,80,135,80,121,1,False
25,Rattata,Normal,,30,56,35,25,35,72,1,False
26,Raticate,Normal,,55,81,60,50,70,97,1,False
27,Spearow,Normal,Flying,40,60,30,31,31,70,1,False
28,Fearow,Normal,Flying,65,90,65,61,61,100,1,False
29,Ekans,Poison,,35,60,44,40,54,55,1,False
30,Arbok,Poison,,60,85,69,65,79,80,1,False
31,Pikachu,Electric,,35,55,40,50,50,90,1,False
32,Raichu,Electric,,60,90,55,90,80,110,1,False
33,Sandshrew,Ground,,50,75,85,20,30,40,1,False
34,Sandslash,Ground,,75,100,110,45,55,65,1,False
35,Nidoran♀,Poison,,55,47,52,40,40,41,1,False
36,Nidorina,Poison,,70,62,67,55,55,56,1,False
37,Nidoqueen,Poison,Ground,90,92,87,75,85,76,1,False
38,Nidoran♂,Poison,,46,57,40,40,40,50,1,False
39,Nidorino,Poison,,61,72,57,55,55,65,1,False
40,Nidoking,Poison,Ground,81,102,77,85,75,85,1,False
41,Clefairy,Fairy,,70,45,48,60,65,35,1,False
42,Clefable,Fairy,,95,70,73,95,90,60,1,False
43,Vulpix,Fire,,38,41,40,50,65,65,1,False
44,Ninetales,Fire,,73,76,75,81,100,100,1,False
45,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,1,False
46,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,1,False
47,Zubat,Poison,Flying,40,45,35,30,40,55,1,False
48,Golbat,Poison,Flying,75,80,70,65,75,90,1,False
49,Oddish,Grass,Poison,45,50,55,75,65,30,1,False
50,Gloom,Grass,Poison,60,65,70,85,75,40,1,False
51,Vileplume,Grass,Poison,75,80,85,110,90,50,1,False
52,Paras,Bug,Grass,35,70,55,45,55,25,1,False
53,Parasect,Bug,Grass,60,95,80,60,80,30,1,False
54,Venonat,Bug,Poison,60,55,50,40,55,45,1,False
55,Venomoth,Bug,Poison,70,65,60,90,75,90,1,False
56,Diglett,Ground,,10,55,25,35,45,95,1,False
57,Dugtrio,Ground,,35,80,50,50,70,120,1,False
58,Meowth,Normal,,40,45,35,40,40,90,1,False
59,Persian,Normal,,65,70,60,65,65,115,1,False
60,Psyduck,Water,,50,52,48,65,50,55,1,False
61,Golduck,Water,,80,82,78,95,80,85,1,False
62,Mankey,Fighting,,40,80,35,35,45,70,1,False
63,,Fighting,,65,105,60,60,70,95,1,False
64,Growlithe,Fire,,55,70,45,70,50,60,1,False
65,Arcanine,Fire,,90,110,80,100,80,95,1,False
66,Poliwag,Water,,40,50,40,40,40,90,1,False
67,Poliwhirl,Water,,65,65,65,50,50,90,1,False
68,Poliwrath,Water,Fighting,90,95,95,70,90,70,1,False
69,Abra,Psychic,,25,20,15,105,55,90,1,False
