ID,Name,Alignment,Gender,Intelligence,Strength,Speed,Durability,Power,Combat,Total,Height,Weight,SkinColor,EyeColor,HairColor,Race
0,3-D Man,good,Male,50,31,43,32,25,52,233,203,441,-,yellow,No Hair,Human
1,A-Bomb,good,Male,38,100,17,80,17,64,316,191,65,blue,blue,No Hair,Icthyo Sapien
2,Abe Sapien,good,Male,88,14,35,42,35,85,299,185,90,red,blue,No Hair,Ungaran
3,Abin Sur,good,Male,50,90,53,64,84,65,406,203,441,-,green,No Hair,Human / Radiation
4,Abomination,bad,Male,63,80,53,90,55,95,436,-99,-99,-,blue,Black,Cosmic Entity
5,Abraxas,bad,Male,88,100,83,99,100,56,526,193,122,-,blue,No Hair,Human
6,Adam Monroe,good,Male,63,10,12,100,71,64,320,-99,-99,-,blue,Blond,-
7,Adam Strange,good,Male,1,1,1,1,0,1,5,185,88,-,blue,Blond,Human
8,Agent  13,good,Female,1,1,1,1,0,1,5,173,61,-,blue,Blond,-
9,Agent Bob,good,Male,10,8,13,5,5,20,61,178,81,-,brown,Brown,Human
10,Agent Zero,good,Male,75,28,38,80,72,95,388,191,104,-,-,-,-
11,Air-Walker,bad,Male,50,85,100,85,100,40,460,188,108,-,blue,White,-
12,Alan Scott,good,Male,63,80,23,90,98,32,386,193,90,-,brown,Black,Cyborg
13,Alex Woolsly,good,Male,1,1,1,1,0,1,5,180,90,-,blue,Blond,-
14,Alfred Pennyworth,good,Male,63,10,17,10,7,55,162,-99,-99,-,-,-,Human
15,Allan Quatermain,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
16,Amazo,bad,Male,75,100,100,100,100,100,575,178,72,-,blue,Black,Human
17,Ammo,bad,Male,1,1,1,1,0,1,5,244,169,black,-,No Hair,Xenomorph XX121
18,Ando Masahashi,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
19,Angel,good,Male,63,13,46,64,17,42,245,257,173,-,red,-,Android
20,Angel Salvadore,good,Male,38,10,28,28,46,60,210,188,101,-,brown,Black,Human
21,Angela,bad,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,-
22,Animal Man,good,Male,56,48,47,85,73,80,389,183,68,-,blue,Blond,-
23,Annihilus,bad,Male,75,80,47,56,59,64,381,-99,-99,-,-,-,Vampire
24,Ant-Man,good,Female,100,10,23,28,32,32,225,165,57,-,yellow,Black,Mutant
25,Ant-Man II,good,Female,63,10,23,28,32,28,184,163,54,-,brown,Black,-
26,Anti-Monitor,bad,Female,88,90,38,90,100,90,496,-99,-99,-,-,-,-
27,Anti-Spawn,bad,Male,1,1,1,1,0,1,5,183,83,-,blue,Blond,Human
29,Apocalypse,bad,Male,100,100,33,100,100,60,493,211,122,-,blue,Blond,Human
30,Aquababy,good,Male,10,16,12,14,37,14,103,183,86,-,blue,Blond,Human
31,Aqualad,good,Male,63,44,42,75,76,60,360,61,-99,-,yellow,No Hair,God / Eternal
32,Aquaman,good,Male,63,80,50,80,65,80,418,-99,-99,-,-,-,-
33,Arachne,good,Male,1,1,1,1,0,1,5,229,358,-,blue,Blond,Symbiote
34,Archangel,good,Male,63,13,58,64,28,42,268,213,135,grey,red,Black,Mutant
35,Arclight,bad,Male,38,63,23,42,52,70,288,-99,-99,-,blue,Blond,-
36,Ares,good,Male,75,82,35,80,62,101,435,178,106,-,blue,Black,Atlantean
37,Ariel,good,Male,50,10,12,14,72,28,186,185,146,-,blue,Blond,Atlantean
38,Armor,good,Female,50,63,12,80,55,54,314,175,63,-,blue,Blond,Human
39,Arsenal,good,Male,1,1,1,1,0,1,5,183,68,blue,blue,Blond,Mutant
40,Astro Boy,good,Female,1,1,1,1,0,1,5,173,57,-,violet,Purple,-
41,Atlas,good,Female,50,80,23,99,69,42,363,193,98,gold,white,Orange,Alien
42,Atom,good,Male,1,1,1,1,0,1,5,185,270,-,brown,Brown,-
43,Atom Girl,good,Female,38,10,23,28,38,42,179,165,59,-,purple,Pink,-
44,Atom I,good,Female,1,1,1,1,0,1,5,163,50,-,black,Black,-
45,Atom II,good,Male,1,1,1,1,0,1,5,-99,-99,-,-,-,Human
47,Atom IV,good,Male,1,1,1,1,0,1,5,183,101,-,brown,Red,Mutant
48,Aurora,good,Male,50,15,83,56,69,56,329,198,126,-,blue,Brown,God / Eternal
49,Azazel,bad,Male,50,11,47,95,87,80,370,178,68,-,blue,Red,-
50,Azrael,good,Male,63,18,17,20,35,80,233,-99,-99,-,-,-,-
51,Aztar,good,Female,1,1,1,1,0,1,5,168,54,-,black,Black,-
52,Bane,bad,Male,88,53,23,56,51,95,366,183,81,-,brown,Auburn,Human
53,Banshee,good,Male,50,10,58,42,60,70,290,-99,-99,-,-,Red,-
54,Bantam,good,Male,25,53,23,54,21,56,232,-99,72,-,brown,Black,-
55,Batgirl I,good,Female,1,1,1,1,0,1,5,180,63,-,blue,Black,Mutant
56,Batgirl II,good,Male,1,1,1,1,0,1,5,183,67,red,yellow,Black,Neyaphem
57,Batgirl III,good,Male,1,1,1,1,0,1,5,-99,-99,-,brown,Black,Human
58,Batgirl IV,good,Male,69,12,27,56,42,100,306,-99,-99,-,-,-,-
59,Batgirl V,good,Male,1,1,1,1,0,1,5,203,180,-,-,-,Human
60,Batgirl VI,good,Male,75,10,23,28,22,80,238,183,77,-,green,Strawberry Blond,Human
61,Batman,good,Male,100,18,27,42,37,100,324,165,54,-,brown,Black,-
62,Batman II,good,Female,88,11,33,28,36,100,296,-99,-99,-,-,-,-
63,Battlestar,good,Female,50,53,35,74,48,74,334,170,57,-,green,Red,Human
64,Beak,good,Female,1,1,1,1,0,1,5,-99,-99,-,-,-,-
