ExterQual,AllFlrsSF,GrLivArea,SimplOverallCond,GarageArea,TotRmsAbvGrd,LotFrontage,SalePrice
4,1316,1316,2,397,6,65.0,169990
4,2028,2028,2,880,7,88.0,369900
3,1072,1072,2,525,5,35.0,140000
3,1048,1048,2,286,6,72.0,135000
3,1779,1779,2,546,6,80.0,197900
4,1200,1200,2,521,6,105.0,177500
3,924,924,2,280,5,88.0,110000
3,1679,1679,2,575,7,65.0,193500
3,840,840,3,0,5,55.0,87000
4,1936,1936,2,504,7,106.0,230500
4,1707,1707,2,511,6,0.0,228000
4,1456,1456,2,390,8,65.0,163990
4,1768,1768,2,543,8,65.0,224900
3,1978,1978,2,486,9,0.0,176000
3,1048,1048,2,420,7,60.0,98300
4,1419,1419,2,527,7,0.0,184100
4,1484,1484,2,472,6,64.0,265900
4,1928,1928,2,434,8,65.0,219500
4,1571,1571,3,380,7,59.0,178000
3,1121,1121,2,440,5,80.0,140000
4,1120,1200,2,480,4,30.0,144152
3,691,691,2,216,4,60.0,86000
3,875,875,3,180,5,51.0,105000
3,2380,2380,2,596,7,0.0,129000
3,987,987,2,264,5,21.0,100000
4,1734,1734,2,660,7,78.0,260000
3,1229,1229,2,462,5,24.0,124000
3,1120,1120,2,0,6,70.0,147000
3,1524,1524,2,315,7,78.0,144000
4,1479,1479,2,558,7,72.0,226000
4,2599,2599,2,779,10,108.0,333168
4,1252,1252,2,462,4,24.0,160000
3,1378,1378,3,360,7,60.0,161000
3,1632,1632,2,576,8,100.0,143000
3,2030,2030,2,551,8,0.0,195000
3,854,854,3,576,5,51.0,132000
4,1947,1947,2,678,8,100.0,254900
3,1505,1505,2,240,8,0.0,145000
3,1069,1069,2,440,4,53.0,140000
3,1920,1920,2,487,8,102.0,170000
3,2153,2358,2,0,8,50.0,122000
3,864,864,2,624,5,70.0,129900
4,2080,2080,3,282,9,53.0,234000
4,1573,1573,2,544,6,67.0,227000
3,1181,1181,2,588,6,90.0,137500
3,1339,1339,2,484,6,50.0,180000
3,1077,1077,1,338,6,60.0,67000
3,1120,1200,2,480,4,30.0,151000
3,1225,1225,2,0,6,77.0,128950
3,2134,2134,2,441,10,0.0,214500
3,1779,1779,2,454,6,102.0,170000
3,1134,1134,2,240,7,60.0,126000
3,1065,1065,2,461,6,80.0,126500
4,1786,1786,2,608,6,68.0,223500
4,1756,1756,2,422,7,0.0,204000
3,1968,1968,2,530,7,0.0,172000
3,1224,1224,2,402,5,0.0,165000
3,1429,1429,2,572,7,0.0,181900
3,1236,1236,2,447,6,72.0,134450
3,1283,1283,3,506,6,70.0,140000
3,1056,1056,2,304,6,65.0,142000
3,2142,2142,2,509,8,100.0,193500
3,1297,1297,2,498,5,74.0,153000
2,1374,1374,2,338,6,90.0,105000
3,1475,1475,2,336,6,41.0,127000
4,848,848,2,420,3,0.0,143000
4,985,985,3,328,6,65.0,149900
3,1340,1340,2,252,7,60.0,120000
4,1801,1801,2,800,8,72.0,239900
4,1844,1844,2,620,7,88.0,257000
3,2207,2207,2,576,7,0.0,180000
4,1792,1792,2,874,6,72.0,374000
3,960,960,3,364,3,0.0,145000
3,1482,1482,3,324,7,50.0,143000
3,438,438,2,246,3,60.0,60000
3,928,928,3,252,4,70.0,132000
4,1767,1767,3,504,5,44.0,239000
3,1724,1724,2,527,8,57.0,188000
3,2136,2136,1,528,7,89.0,137900
3,1728,1728,2,352,10,0.0,119000
3,1291,1291,2,431,6,0.0,173000
3,1090,1090,2,450,5,60.0,157000
3,1054,1054,3,480,6,80.0,137500
3,1868,1868,3,484,9,0.0,197500
3,1348,1348,3,216,5,50.0,117000
3,987,987,2,288,5,21.0,94500
3,1788,1788,2,304,8,0.0,161500
3,672,672,3,240,4,60.0,108000
4,1902,1902,3,567,7,100.0,335000
4,1337,1337,2,531,6,65.0,185000
5,2076,2076,2,850,7,107.0,465000
4,1414,1414,2,398,6,0.0,178740
3,1092,1092,2,299,6,69.0,141000
4,2256,2256,2,554,8,0.0,236000
3,901,901,3,281,4,50.0,107900
3,1824,1824,2,520,8,60.0,180500
3,1322,1322,2,440,6,24.0,147000
3,1601,1601,2,300,6,85.0,140000
4,2013,2013,2,455,8,92.0,269790
3,1279,1279,2,473,6,75.0,171500
3,1422,1422,2,576,7,78.0,175500
3,1422,1422,2,286,6,0.0,139900
4,1550,1550,2,438,7,65.0,241000
4,1466,1466,2,610,7,73.0,201000
3,2022,2022,2,505,8,83.0,192000
4,2452,2452,2,683,9,66.0,267000
5,1932,1932,2,774,7,96.0,394617
3,1040,1040,2,308,5,75.0,133000
3,1600,1600,2,319,6,47.0,207500
3,1053,1053,3,750,6,69.0,150000
4,1566,1566,2,750,7,75.0,262500
4,2398,2398,2,834,8,95.0,315750
3,1196,1196,3,440,5,40.0,109900
4,1929,1929,2,650,7,0.0,226000
3,784,784,2,0,5,50.0,109500
3,804,804,3,240,4,60.0,119000
4,1500,1500,2,570,6,63.0,190000
3,1198,1198,3,0,7,60.0,79900
3,1647,1647,2,216,6,66.0,128000
3,958,958,2,440,5,0.0,128000
4,1372,1372,2,529,6,72.0,250580
3,1478,1478,2,498,6,0.0,157500
4,1240,1240,2,826,5,74.0,194000
3,1935,1935,3,550,7,0.0,197900
3,1680,1680,2,528,8,0.0,136905
4,2046,2046,2,871,8,85.0,284000
3,1961,1961,2,560,7,71.0,215000
4,2167,2167,3,518,9,0.0,294000
3,1092,1092,2,288,6,0.0,139000
3,1818,1818,2,240,7,0.0,169500
3,1800,1800,2,463,7,60.0,179000
3,1593,1593,2,398,8,62.0,193000
4,1208,1208,2,632,6,64.0,206000
3,1453,1453,2,445,6,0.0,190000
3,2263,2263,3,539,9,0.0,235000
2,334,334,1,0,2,50.0,39300
3,1688,1688,2,603,8,79.0,200000
3,1252,1252,2,288,6,80.0,119000
3,1229,1229,2,284,6,0.0,135000
3,1513,1513,3,180,8,51.0,137500
3,1235,1235,1,480,6,85.0,98600
3,1040,1040,2,0,5,60.0,124000
4,1922,1922,2,676,8,86.0,377426
3,1060,1060,3,572,6,44.0,129900
3,894,894,3,336,5,65.0,138500
3,2521,2521,2,576,10,42.0,151400
4,1258,1258,3,528,5,80.0,145000
3,872,872,2,480,5,70.0,123000
3,1040,1040,2,420,4,60.0,109900
3,1523,1523,2,478,7,104.0,180000
5,999,999,3,588,6,0.0,178400
3,2414,2414,2,520,10,60.0,160000
4,1575,1575,2,529,5,50.0,179200
3,1844,1844,2,546,7,105.0,190000
