ages,list_price,num_reviews,piece_count,play_star_rating,review_difficulty,star_rating,theme_name,val_star_rating,country
19,29.99,2,277,4,0,4.5,0,4,20
19,19.99,2,168,4,2,5,0,4,20
19,12.99,11,74,4.3,2,4.3,0,4.1,20
5,99.99,23,1032,3.6,0,4.6,1,4.3,20
5,79.99,14,744,3.2,1,4.6,1,4.1,20
5,59.99,7,597,3.7,0,4.9,1,4.4,20
5,59.99,37,598,3.7,0,4.2,1,4.1,20
5,49.99,24,780,4.4,0,4.7,1,4.3,20
5,39.99,23,468,3.6,0,4.7,1,4.1,20
5,39.99,11,444,3.6,0,4.8,1,4.5,20
5,39.99,14,386,4.1,0,4.4,1,3.6,20
5,34.99,53,321,3.2,0,4.6,1,4.4,20
5,29.99,7,361,4.2,2,4.6,1,4.2,20
22,159.99,63,847,3.8,0,3.4,2,3.5,20
0,29.99,13,708,4.7,0,4.8,4,4.8,20
0,19.99,1,234,3,2,5,4,5,20
0,19.99,1,160,5,4,5,4,5,20
0,9.99,1,149,2,4,3,4,4,20
0,9.99,1,141,2,4,4,4,4,20
0,9.99,3,101,4,0,4.7,4,4.5,20
0,9.99,2,105,3,2,5,4,5,20
0,9.99,1,113,5,2,5,4,5,20
0,9.99,1,136,0,5,5,4,0,20
0,9.99,2,91,3,2,4.5,4,4,20
0,9.99,7,140,3.2,2,4.9,4,4.7,20
0,9.99,5,143,4.6,2,5,4,5,20
0,9.99,3,122,2.7,4,4,4,3,20
0,9.99,5,130,4.3,2,5,4,4.8,20
0,9.99,3,119,4.5,2,5,4,4.5,20
0,9.99,1,135,1,4,4,4,3,20
0,9.99,2,108,3.5,2,5,4,4,20
0,19.99,1,240,3,2,5,4,5,20
0,19.99,0,209,0,5,0,4,0,20
0,9.99,4,126,2,2,5,4,4.5,20
0,9.99,7,102,4,2,5,4,4.7,20
0,9.99,5,89,3.2,4,4.4,4,4,20
0,9.99,6,118,3.3,4,5,4,4.7,20
0,9.99,3,127,3.5,4,4.7,4,4.7,20
0,9.99,11,91,3.8,4,4.9,4,4.7,20
