LotFrontage,PoolQC,TotalBsmtSF,GrLivArea,LotArea,SaleCondition,GarageType,SalePrice
65.0,,856,1710,8450,Normal,Attchd,208500
80.0,,1262,1262,9600,Normal,Attchd,181500
68.0,,920,1786,11250,Normal,Attchd,223500
60.0,,756,1717,9550,Abnorml,Detchd,140000
84.0,,1145,2198,14260,Normal,Attchd,250000
85.0,,796,1362,14115,Normal,Attchd,143000
75.0,,1686,1694,10084,Normal,Attchd,307000
,,1107,2090,10382,Normal,Attchd,200000
51.0,,952,1774,6120,Abnorml,Detchd,129900
50.0,,991,1077,7420,Normal,Attchd,118000
70.0,,1040,1040,11200,Normal,Detchd,129500
85.0,,1175,2324,11924,Partial,BuiltIn,345000
,,912,912,12968,Normal,Detchd,144000
91.0,,1494,1494,10652,Partial,Attchd,279500
,,1253,1253,10920,Normal,Attchd,157000
51.0,,832,854,6120,Normal,Detchd,132000
,,1004,1004,11241,Normal,Attchd,149000
72.0,,0,1296,10791,Normal,CarPort,90000
66.0,,1114,1114,13695,Normal,Detchd,159000
70.0,,1029,1339,7560,Abnorml,Attchd,139000
101.0,,1158,2376,14215,Partial,BuiltIn,325300
57.0,,637,1108,7449,Normal,Attchd,139400
75.0,,1777,1795,9742,Normal,Attchd,230000
44.0,,1040,1060,4224,Normal,Attchd,129900
,,1060,1060,8246,Normal,Attchd,154000
110.0,,1566,1600,14230,Normal,Attchd,256300
60.0,,900,900,7200,Normal,Detchd,134800
98.0,,1704,1704,11478,Normal,Attchd,306000
47.0,,1484,1600,16321,Normal,Attchd,207500
60.0,,520,520,6324,Normal,Detchd,68500
50.0,,649,1317,8500,Normal,Detchd,40000
,,1228,1228,8544,Normal,Attchd,149350
85.0,,1234,1234,11049,Normal,Attchd,179900
70.0,,1398,1700,10552,Normal,Attchd,165500
60.0,,1561,1561,7313,Normal,Attchd,277500
108.0,,1117,2452,13418,Normal,BuiltIn,309000
112.0,,1097,1097,10859,Normal,Attchd,145000
74.0,,1297,1297,8532,Normal,Attchd,153000
68.0,,1057,1057,7922,Abnorml,Detchd,109000
65.0,,0,1152,6040,AdjLand,,82000
84.0,,1088,1324,8658,Abnorml,Attchd,160000
115.0,,1350,1328,16905,Normal,Attchd,170000
,,840,884,9180,Normal,Attchd,144000
,,938,938,9200,Normal,Detchd,130250
70.0,,1150,1150,7945,Normal,Attchd,141000
61.0,,1752,1752,7658,Normal,Attchd,319900
48.0,,1434,2149,12822,Abnorml,Attchd,239686
84.0,,1656,1656,11096,Normal,Attchd,249700
33.0,,736,1452,4456,Partial,,113000
66.0,,955,955,7742,Normal,Attchd,127000
