LotArea,BedroomAbvGr,GarageArea,OverallCond,SalePrice
8450,3,548,5,208500
9600,3,460,8,181500
11250,3,608,5,223500
9550,3,642,5,140000
14260,4,836,5,250000
14115,1,480,5,143000
10084,3,636,5,307000
10382,3,484,6,200000
6120,2,468,5,129900
7420,2,205,6,118000
11200,3,384,5,129500
11924,4,736,5,345000
12968,2,352,6,144000
10652,3,840,5,279500
10920,2,352,5,157000
6120,2,576,8,132000
11241,2,480,7,149000
10791,2,516,5,90000
13695,3,576,5,159000
7560,3,294,6,139000
14215,4,853,5,325300
7449,3,280,7,139400
9742,3,534,5,230000
4224,3,572,7,129900
8246,3,270,8,154000
14230,3,890,5,256300
7200,3,576,7,134800
11478,3,772,5,306000
16321,2,319,6,207500
6324,1,240,6,68500
8500,3,250,4,40000
8544,3,271,6,149350
11049,3,484,5,179900
10552,4,447,5,165500
7313,2,556,5,277500
13418,4,691,5,309000
10859,3,672,5,145000
8532,3,498,6,153000
7922,3,246,7,109000
8658,3,440,5,160000
16905,2,308,6,170000
9180,2,504,7,144000
9200,3,308,6,130250
7945,3,300,6,141000
7658,2,576,5,319900
12822,1,670,5,239686
11096,3,826,5,249700
7742,3,386,7,127000
13869,3,388,6,177000
6240,3,528,6,114500
8472,2,516,5,110000
50271,0,894,5,385000
7134,3,572,5,130000
10175,3,576,5,180500
2645,3,480,5,172500
11645,3,565,5,196500
13682,3,641,5,438780
7200,2,352,7,124900
13072,3,576,5,158000
7200,3,288,7,101000
6442,2,484,5,202500
10300,3,480,6,140000
9375,3,645,5,219500
9591,4,852,5,317000
19900,3,576,5,180000
10665,3,558,5,226000
4608,2,220,6,80000
15593,3,667,4,225000
13651,3,516,6,244000
7599,2,360,6,129500
10141,3,427,5,185000
10200,3,490,7,144900
5790,3,379,6,107400
1596,2,297,5,91000
8475,2,283,7,135750
8635,2,240,5,127000
10440,2,440,6,110000
13000,4,509,6,193500
4500,2,405,5,153500
10206,3,758,5,245000
8892,3,461,5,126500
8530,3,400,5,168500
16059,4,462,5,260000
11911,3,400,5,174000
3951,2,528,5,164500
7200,2,420,5,109900
8500,2,480,3,98600
13360,2,432,7,163500
7200,4,506,6,133900
9337,3,684,5,204750
9765,3,420,8,185000
