age,balance,duration,campaign,pdays,housing_cat,poutcome_success,deposit_cat
59,2343,1042,1,10000,1,0,1
56,45,1467,1,10000,0,0,1
41,1270,1389,1,10000,1,0,1
55,2476,579,1,10000,1,0,1
54,184,673,2,10000,0,0,1
42,0,562,2,10000,1,0,1
56,830,1201,1,10000,1,0,1
60,545,1030,1,10000,1,0,1
37,1,608,1,10000,1,0,1
28,5090,1297,3,10000,1,0,1
38,100,786,1,10000,1,0,1
30,309,1574,2,10000,1,0,1
29,199,1689,4,10000,1,0,1
46,460,1102,2,10000,1,0,1
31,703,943,2,10000,1,0,1
35,3837,1084,1,10000,1,0,1
32,611,541,3,10000,1,0,1
49,-8,1119,1,10000,1,0,1
41,55,1120,2,10000,1,0,1
49,168,513,1,10000,1,0,1
28,785,442,2,10000,1,0,1
43,2067,756,1,10000,1,0,1
43,388,2087,2,10000,1,0,1
43,-192,1120,2,10000,1,0,1
37,381,985,2,10000,1,0,1
35,40,617,4,10000,1,0,1
31,22,483,3,10000,1,0,1
43,3,929,3,10000,1,0,1
31,307,538,1,10000,1,0,1
28,759,710,1,10000,1,0,1
32,-1,653,1,10000,1,0,1
60,65,1028,2,10000,1,0,1
26,82,654,1,10000,1,0,1
40,10,1692,2,10000,1,0,1
33,390,665,2,10000,1,0,1
32,311,757,2,10000,0,0,1
35,414,504,4,10000,0,0,1
33,5,1346,1,10000,1,0,1
38,119,568,4,10000,1,0,1
23,4,395,2,10000,1,0,1
60,1262,1015,1,10000,1,0,1
48,1949,683,2,10000,1,0,1
45,-395,470,1,10000,1,0,1
36,1165,1001,4,10000,1,0,1
52,2240,845,1,10000,1,0,1
35,300,945,2,10000,1,0,1
43,3285,1721,2,10000,1,0,1
52,3923,942,3,10000,1,0,1
53,1443,476,1,10000,1,0,1
48,24,832,1,10000,1,0,1
41,1618,1553,1,10000,1,0,1
39,517,1328,1,10000,1,0,1
59,1521,1125,2,10000,1,0,1
41,2823,858,1,10000,1,0,1
48,1405,629,2,10000,1,0,1
40,1535,704,1,10000,1,0,1
48,1596,760,1,10000,1,0,1
60,1542,930,1,10000,1,0,1
40,3652,1028,2,10000,1,0,1
57,-1,850,2,10000,0,0,1
51,7180,927,1,10000,1,0,1
41,5291,1423,3,10000,1,0,1
41,1384,1162,4,10000,1,0,1
52,-191,755,1,10000,1,0,1
59,320,695,1,10000,1,0,1
44,146,483,1,10000,1,0,1
49,341,520,2,10000,1,0,1
40,-9,920,2,10000,1,0,1
41,-306,500,1,10000,1,0,1
44,4580,911,2,10000,1,0,1
60,313,920,2,10000,1,0,1
29,10576,1224,2,10000,0,0,1
41,-233,1156,2,10000,1,0,1
41,2453,1052,1,10000,1,0,1
42,1364,1867,6,10000,1,0,1
36,281,515,1,10000,1,0,1
39,94,813,1,10000,1,0,1
31,144,676,1,10000,1,0,1
26,246,1143,3,10000,1,0,1
31,92,688,1,10000,1,0,1
29,163,803,1,10000,1,0,1
37,49,619,2,10000,1,0,1
33,-416,767,2,10000,1,0,1
24,409,912,1,10000,1,0,1
50,363,1340,1,10000,1,0,1
27,3706,897,1,10000,1,0,1
54,4393,1297,3,10000,1,0,1
30,863,1193,5,10000,1,0,1
34,695,1064,4,10000,1,0,1
37,792,1187,4,10000,1,0,1
41,1020,882,1,10000,1,0,1
47,863,943,2,10000,1,0,1
31,97,607,1,10000,1,0,1
31,754,1022,4,10000,1,0,1
43,1040,552,3,10000,1,0,1
37,122,1622,2,10000,1,0,1
30,880,967,6,10000,1,0,1
41,501,579,5,10000,1,0,1
36,4438,446,1,10000,1,0,1
35,0,1205,1,10000,1,0,1
