age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome
59,0,1,1,0,2343,1,0,2,5,8,1042,1,-1,0,3
56,0,1,1,0,45,0,0,2,5,8,1467,1,-1,0,3
41,9,1,1,0,1270,1,0,2,5,8,1389,1,-1,0,3
55,7,1,1,0,2476,1,0,2,5,8,579,1,-1,0,3
54,0,1,2,0,184,0,0,2,5,8,673,2,-1,0,3
42,4,2,2,0,0,1,1,2,5,8,562,2,-1,0,3
56,4,1,2,0,830,1,1,2,6,8,1201,1,-1,0,3
60,5,0,1,0,545,1,0,2,6,8,1030,1,-1,0,3
37,9,1,1,0,1,1,0,2,6,8,608,1,-1,0,3
28,7,2,1,0,5090,1,0,2,6,8,1297,3,-1,0,3
38,0,2,1,0,100,1,0,2,7,8,786,1,-1,0,3
30,1,1,1,0,309,1,0,2,7,8,1574,2,-1,0,3
29,4,1,2,0,199,1,1,2,7,8,1689,4,-1,0,3
46,1,2,2,0,460,1,0,2,7,8,1102,2,-1,0,3
31,9,2,2,0,703,1,0,2,8,8,943,2,-1,0,3
35,4,0,2,0,3837,1,0,2,8,8,1084,1,-1,0,3
32,1,2,0,0,611,1,0,2,8,8,541,3,-1,0,3
49,7,1,1,0,-8,1,0,2,8,8,1119,1,-1,0,3
41,0,1,1,0,55,1,0,2,8,8,1120,2,-1,0,3
49,0,0,1,0,168,1,1,2,8,8,513,1,-1,0,3
28,0,0,1,0,785,1,0,2,8,8,442,2,-1,0,3
43,4,2,2,0,2067,1,0,2,8,8,756,1,-1,0,3
43,4,0,2,0,388,1,0,2,8,8,2087,2,-1,0,3
43,1,1,0,0,-192,1,0,2,8,8,1120,2,-1,0,3
37,10,2,1,0,381,1,0,2,8,8,985,2,-1,0,3
35,1,2,1,0,40,1,0,2,9,8,617,4,-1,0,3
31,9,2,2,0,22,1,0,2,9,8,483,3,-1,0,3
43,1,2,1,0,3,1,0,2,9,8,929,3,-1,0,3
31,0,1,1,0,307,1,0,2,9,8,538,1,-1,0,3
28,1,2,1,0,759,1,0,2,9,8,710,1,-1,0,3
32,1,1,1,1,-1,1,0,2,9,8,653,1,-1,0,3
60,9,1,0,0,65,1,0,2,9,8,1028,2,-1,0,3
26,1,2,1,0,82,1,0,2,9,8,654,1,-1,0,3
40,1,1,1,0,10,1,0,2,9,8,1692,2,-1,0,3
33,1,0,0,0,390,1,0,2,9,8,665,2,-1,0,3
32,4,2,2,0,311,0,0,2,12,8,757,2,-1,0,3
35,1,1,0,0,414,0,0,2,13,8,504,4,-1,0,3
33,4,0,1,0,5,1,0,2,13,8,1346,1,-1,0,3
38,4,1,2,0,119,1,0,2,13,8,568,4,-1,0,3
23,2,2,0,0,4,1,0,2,13,8,395,2,-1,0,3
60,1,1,0,0,1262,1,1,2,13,8,1015,1,-1,0,3
48,4,1,2,0,1949,1,0,2,13,8,683,2,-1,0,3
45,2,0,2,0,-395,1,0,2,13,8,470,1,-1,0,3
36,1,1,1,0,1165,1,0,2,13,8,1001,4,-1,0,3
52,4,1,3,0,2240,1,0,2,13,8,845,1,-1,0,3
35,1,0,0,0,300,1,0,2,13,8,945,2,-1,0,3
