ID,KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG
63581743,0,60,0,11,"$67,349",No,$0,z_No,M,PhD,Professional,14,Private,"$14,230",11,Minivan,yes,"$4,461",2,No,3,$0,18,0
132761049,0,43,0,11,"$91,449",No,"$257,252",z_No,M,z_High School,z_Blue Collar,22,Commercial,"$14,940",1,Minivan,yes,$0,0,No,0,$0,1,0
921317019,0,48,0,11,"$52,881",No,$0,z_No,M,Bachelors,Manager,26,Private,"$21,970",1,Van,yes,$0,0,No,2,$0,10,0
727598473,0,35,1,10,"$16,039",No,"$124,191",Yes,z_F,z_High School,Clerical,5,Private,"$4,010",4,z_SUV,no,"$38,690",2,No,3,$0,10,0
450221861,0,51,0,14,,No,"$306,251",Yes,M,<High School,z_Blue Collar,32,Private,"$15,440",7,Minivan,yes,$0,0,No,0,$0,6,0
743146596,0,50,0,,"$114,986",No,"$243,925",Yes,z_F,PhD,Doctor,36,Private,"$18,000",1,z_SUV,no,"$19,217",2,Yes,3,$0,17,0
871024631,0,34,1,12,"$125,301",Yes,$0,z_No,z_F,Bachelors,z_Blue Collar,46,Commercial,"$17,430",1,Sports Car,no,$0,0,No,0,"$2,946",7,1
792300541,0,54,0,,"$18,755",No,,Yes,z_F,<High School,z_Blue Collar,33,Private,"$8,780",1,z_SUV,no,$0,0,No,0,$0,1,0
7945239,1,40,1,11,"$50,815",Yes,$0,z_No,M,z_High School,Manager,21,Private,"$18,930",6,Minivan,no,"$3,295",1,No,2,"$6,477",1,1
3577610,0,44,2,12,"$43,486",Yes,$0,z_No,z_F,z_High School,z_Blue Collar,30,Commercial,"$5,900",10,z_SUV,no,$0,0,No,0,$0,10,0
892208080,1,37,2,,"$107,961",No,"$333,680",Yes,M,Bachelors,z_Blue Collar,44,Commercial,"$16,970",1,Van,yes,"$2,374",1,Yes,10,"$4,021",7,1
77382913,0,34,0,10,"$62,978",No,$0,z_No,z_F,Bachelors,Clerical,34,Private,"$11,200",1,z_SUV,no,$0,0,No,0,"$2,501",1,1
856886560,0,50,0,7,"$106,952",No,$0,z_No,M,Bachelors,Professional,48,Commercial,"$18,510",7,Van,no,$0,0,No,1,$0,17,0
308455362,0,53,0,14,"$77,100",No,$0,z_No,z_F,Masters,Lawyer,15,Private,"$18,300",1,Sports Car,no,$0,0,No,0,"$6,077",11,1
989828809,0,43,0,5,"$52,642",No,"$209,970",Yes,z_F,Masters,Professional,36,Private,"$22,420",7,Minivan,no,$0,0,No,0,$0,1,0
376482434,0,55,0,11,"$59,162",No,"$180,232",Yes,M,Bachelors,Manager,25,Commercial,"$17,600",7,Van,yes,"$5,028",2,Yes,3,$0,9,0
665591504,0,53,0,11,"$130,795",No,$0,z_No,M,PhD,,64,Commercial,"$28,340",6,Panel Truck,yes,$0,0,No,3,"$1,267",10,1
713692930,0,35,2,,"$21,204",Yes,$0,z_No,M,z_High School,Clerical,74,Private,"$9,230",6,Pickup,no,$0,0,Yes,0,$0,4,0
588888550,0,45,0,0,$0,No,"$106,859",Yes,z_F,<High School,Home Maker,48,Private,"$6,000",1,z_SUV,no,$0,0,No,3,"$2,920",5,1
140015922,0,39,3,12,"$51,884",Yes,"$180,951",z_No,z_F,Bachelors,Clerical,43,Private,"$10,590",6,z_SUV,no,$0,0,No,0,$0,13,0
