year,category,winner,nominee,detail
1949,Technical Award,1,Charles Mesak/Don Lee TV for Phasefader - In Recogition,
1949,Best Film Made For Television,0,Christopher Columbus,CBS
1949,Best Film Made For Television,0,Hollywood Brevities,CBS
1949,Best Film Made For Television,0,It Could Happen To You,CBS
1949,Best Film Made For Television,0,Tell Tale Heart,CBS
1949,Best Film Made For Television,1,The Necklace (Your Show Time Series),CBS
1949,Best Film Made For Television,0,Time Signal,CBS
1949,Most Outstanding Television Personality,0,Rita LeRoy,
1949,Most Outstanding Television Personality,0,Patricia Morrison,
1949,Most Outstanding Television Personality,0,Mike Stokey,
1949,Most Outstanding Television Personality,0,Bill Welsh,
1949,Most Outstanding Television Personality,1,Shirley Dinsdale,
1949,Most Popular Television Program,0,Armchair Detective,KTLA
1949,Most Popular Television Program,0,Don Lee Music Hall,KTSL
1949,Most Popular Television Program,0,Felix De Cola Show,KTLA
1949,Most Popular Television Program,0,Judy Splinters,KTLA
1949,Most Popular Television Program,0,Mabel's Fables,KTLA
1949,Most Popular Television Program,0,Masked Spooner,KTSL
1949,Most Popular Television Program,1,Pantomime Quiz Time,KTLA
1949,Most Popular Television Program,0,Treasure of Literature,KFI-TV
1949,Most Popular Television Program,0,Tuesday Varieties,KTLA
1949,Most Popular Television Program,0,What's the Name of that Song,KTSL
1949,Special Award,1,Louis McManus For His Original Design of the Emmy,
1950,Best Children'S Show,0,Cyclone Malone,KNBH
1950,Best Children'S Show,0,"Kukla, Fran & Ollie",KNBH
1950,Best Children'S Show,1,Time for Beany,KTLA
1950,Best Commercial,1,Lucky Strike,
1950,Best Film Made For & Viewed On Television In 1949,0,Guiding Star,KTTV
1950,Best Film Made For & Viewed On Television In 1949,1,The Life of Riley,KNBH
1950,Best Film Made For & Viewed On Television In 1949,0,The Lone Ranger,KECA-TV
1950,Best Film Made For & Viewed On Television In 1949,0,Time Bomb,KNBH
1950,Best Film Made For & Viewed On Television In 1949,0,Vain Glory,KNBH
1950,Best Film Made For & Viewed On Television In 1949,0,Your Showtime,KNBH
1950,Best Kinescope Show,0,Studio One,KTTV/CBS
1950,Best Kinescope Show,1,Texaco Star Theatre,KNBH/NBC
1950,Best Kinescope Show,0,The Fred Waring Show,KTTV/CBS
1950,Best Kinescope Show,0,The Goldbergs,KTTV/CBS
1950,Best Live Show,0,Pantomime Quiz,KTTV
1950,Best Live Show,1,The Ed Wynn Show,KTTV
1950,Best Live Show,0,Your Witness,KECA-TV
1950,"Best Public Service, Cultural Or Educational Program",1,Crusade in Europe,KECA-TV/KTTV
1950,"Best Public Service, Cultural Or Educational Program",0,Ford News & Weather,KNBH
1950,"Best Public Service, Cultural Or Educational Program",0,Kathy Fiscus Rescue,KTLA
1950,"Best Public Service, Cultural Or Educational Program",0,Man's Best Friend,KTLA
1950,"Best Public Service, Cultural Or Educational Program",0,Nuremberg Trials,KTSL
1950,"Best Public Service, Cultural Or Educational Program",0,Teleforum,KTLA
1950,Best Sports Coverage,0,Amateur Boxing,KTLA
1950,Best Sports Coverage,0,Baseball,KLAC
1950,Best Sports Coverage,0,College Basketball,KTTV
1950,Best Sports Coverage,0,Ice Hockey,KTLA
1950,Best Sports Coverage,0,USC-UCLA Football,KECA-TV
1950,Best Sports Coverage,1,Wrestling,KTLA
1950,Most Outstanding Kinescoped Personality,0,Arthur Godfrey,
1950,Most Outstanding Kinescoped Personality,1,Milton Berle,
1950,Most Outstanding Kinescoped Personality,0,Fran Allison,
1951,Best Educational Show,1,KFI-TV University,KFI-TV
1951,Best Educational Show,0,Kieran's Kaleidoscope,KECA-TV
1951,Best Educational Show,0,Know Your Schools,KFI-TV
1951,Best Educational Show,0,Magazine of the Week,KTLA
1951,Best Educational Show,0,Zoo Parade,KNBH
1951,Best Actor,0,Sid Caesar,
1951,Best Actor,0,Jose Ferrer,
1951,Best Actor,0,Stan Freberg,
1951,Best Actor,0,Charles Ruggles,
1951,Best Actor,1,Alan Young,
1951,Best Actress,1,Gertrude Berg,
1951,Best Actress,0,Judith Anderson,
1951,Best Actress,0,Imogene Coca,
1951,Best Actress,0,Helen Hayes,
1951,Best Actress,0,Betty White,
1951,Best Games And Audience Participation Show,0,Kay Kyser's Kollege of Musical Knowledge,KNBH/NBC
1951,Best Games And Audience Participation Show,0,Life with Linkletter,KECA-TV
1951,Best Games And Audience Participation Show,0,Pantomime Quiz,KTTV/CBS
1951,Best Games And Audience Participation Show,1,Truth or Consequences,KTTV/CBS
1951,Best Games And Audience Participation Show,0,You Bet Your Life,KNBH/NBC
1951,Best Children'S Show,0,Cisco Kid,KNBH
1951,Best Children'S Show,0,Jump Jump,KTTV
1951,Best Children'S Show,0,"Kukla, Fran & Ollie",KNBH/NBC
1951,Best Children'S Show,0,The Lone Ranger,KTLA
1951,Best Children'S Show,1,Time for Beany,KTLA
1951,Best News Program,0,Clete Roberts,KLAC
1951,Best News Program,0,Fleetwood Lawton,KTSL
1951,Best News Program,0,Ford News and Weather,KNBH
1951,Best News Program,1,KTLA Newsreel,KTLA
1951,Best Cultural Show,1,Campus Chorus and Orchestra,KTSL
1951,Best Cultural Show,0,Designed for Women,KNBH
1951,Best Cultural Show,0,Sunset Service,KNBH
1951,Best Cultural Show,0,The Woman's Voice,KTTV
1951,Best Cultural Show,0,Vienna Philharmonic,KTTV
1951,Best Dramatic Show,0,Fireside Theater,KTLA
1951,Best Dramatic Show,0,I Remember Mama,KTTV/CBS
1951,Best Dramatic Show,0,Philco TV Playhouse,KNBH/NBC
1951,Best Dramatic Show,1,Pulitzer Prize Playhouse,KECA-TV
1951,Best Dramatic Show,0,Studio One,KTTV/CBS
1951,Technical Achievement,1,KNBH-NBC,KNBH-NBC
1951,Best Variety Show,0,Four Star Revue,KNBH/NBC
1951,Best Variety Show,0,Ken Murray,KTTV/CBS
1951,Best Variety Show,0,Texaco Star Theatre,KNBH/NBC
1951,Best Variety Show,1,The Alan Young Show,KTTV/CBS
1951,Best Variety Show,0,Your Show of Shows,KNBH/NBC
1951,Best Public Service,0,Teleforum,KTLA
1951,Best Sports Program,0,College Basketball Games,KTTV/CBS
1951,Best Sports Program,0,College Football Games,KTTV/CBS
1951,Best Sports Program,0,Hollywood Baseball,KLAC
1951,Best Sports Program,0,Los Angeles Baseball,KFI-TV
1951,Best Sports Program,1,Rams Football,KNBH
1951,Most Outstanding Personality,0,Dick Lane,
1951,Most Outstanding Personality,0,Alan Young,
1951,Most Outstanding Personality,1,Groucho Marx,
1951,Most Outstanding Personality,0,Sid Caesar,
1951,Most Outstanding Personality,0,Faye Emerson,
1951,Special Events,0,Arrival of Cruiser from Korea,KTLA
1951,Special Events,0,Commissioning of Hospital Ship Haven,KTLA
1951,Special Events,1,Departure of Marines for Korea,KFMB-TV/KTLA
1951,Special Events,0,Election Coverage,KECA-TV
1951,Special Events,0,Tournament of Roses,KECA-TV
1952,Best Actor,0,Vaughn Taylor,
1952,Best Actor,0,Robert Montgomery,
1952,Best Actor,0,Thomas Mitchell,
1952,Best Actor,0,Charlton Heston,
1952,Best Actor,0,Walter Hampden,
1952,Best Actor,1,Sid Caesar,{Empty title}
1952,Best Actress,0,Margaret Sullavan,
1952,Best Actress,1,Imogene Coca,
1952,Best Actress,0,Helen Hayes,
1952,Best Actress,0,Maria Riva,
1952,Best Actress,0,Mary Sinclair,
1952,Best Comedian Or Comedienne,0,Herb Shriner,
1952,Best Comedian Or Comedienne,0,Jimmy Durante,
1952,Best Comedian Or Comedienne,0,Jerry Lewis,
1952,Best Comedian Or Comedienne,0,Sid Caesar,
1952,Best Comedian Or Comedienne,0,Imogene Coca,
1952,Best Comedian Or Comedienne,1,Red Skelton,
1952,Best Comedian Or Comedienne,0,Lucille Ball,
1952,Best Comedy Show,0,Burns and Allen,CBS
1952,Best Comedy Show,0,Groucho Marx,NBC
1952,Best Comedy Show,0,Herb Shriner Show,ABC
1952,Best Comedy Show,0,I Love Lucy,CBS
1952,Best Comedy Show,1,Red Skelton Show,NBC
1952,Best Dramatic Show,0,Celanese Theatre,ABC
1952,Best Dramatic Show,0,Philco-Goodyear TV Playhouse,NBC
1952,Best Dramatic Show,0,Pulitzer Prize Playhouse,ABC
1952,Best Dramatic Show,0,Robert Montgomery Presents,NBC
1952,Best Dramatic Show,1,Studio One,CBS
1953,Best Actor,0,Jack Webb,
1953,Best Actor,0,John Forsythe,
1953,Best Actor,0,Charlton Heston,
1953,Best Actor,0,John Newland,
1953,Best Actor,0,Vaughn Taylor,
1953,Best Actor,1,Thomas Mitchell,
1953,Best Actress,0,Maria Riva,
1953,Best Actress,0,Peggy Wood,
1953,Best Actress,0,Sarah Churchill,
1953,Best Actress,0,June Lockhart,
1953,Best Actress,1,Helen Hayes,
1953,"Best Audience Participation, Quiz Or Panel Program",0,Down You Go,DUMONT
1953,"Best Audience Participation, Quiz Or Panel Program",0,This Is Your Life,NBC
1953,"Best Audience Participation, Quiz Or Panel Program",0,Two for the Money,NBC
1953,"Best Audience Participation, Quiz Or Panel Program",1,What's My Line?,CBS
1953,"Best Audience Participation, Quiz Or Panel Program",0,You Bet Your Life,NBC
1953,Best Children'S Program,0,Big Top,CBS
1953,Best Children'S Program,0,Gabby Hayes,CBS
1953,Best Children'S Program,0,Howdy Doody,NBC
1953,Best Children'S Program,0,"Kukla, Fran & Ollie",NBC
1953,Best Children'S Program,0,Super Circus,NBC
1953,Best Children'S Program,1,Time for Beany,KTLA
1953,Best Children'S Program,0,Zoo Parade,NBC
1953,Best Comedian,0,Wally Cox,
1953,Best Comedian,0,Jackie Gleason,
1953,Best Comedian,0,Herb Shriner,
1953,Best Comedian,1,Jimmy Durante,
1953,Best Comedian,0,Sid Caesar,
1953,Best Comedienne,0,Martha Raye,
1953,Best Comedienne,0,Imogene Coca,
1953,Best Comedienne,0,Joan Davis,
1953,Best Comedienne,1,Lucille Ball,
1953,Best Comedienne,0,Eve Arden,
1953,Best Situation Comedy,0,Amos 'N' Andy,CBS
1953,Best Situation Comedy,1,I Love Lucy,CBS
1953,Best Situation Comedy,0,Mr. Peepers,NBC
1953,Best Situation Comedy,0,Our Miss Brooks,CBS
1953,Best Situation Comedy,0,The Adventures of Ozzie and Harriet,ABC
1953,Best Situation Comedy,0,The George Burns and Gracie Allen Show,CBS
1953,Best Dramatic Program,0,Celanese Theatre,ABC
1953,Best Dramatic Program,0,Kraft Television Theatre,NBC
1953,Best Dramatic Program,0,Philco-Goodyear TV Playhouse,NBC
1953,Best Dramatic Program,1,Robert Montgomery Presents,NBC
1953,Best Dramatic Program,0,Studio One,CBS
1953,Best Variety Program,0,Arthur Godfrey and His Friends,CBS
1953,Best Variety Program,0,Colgate Comedy Hour,NBC
1953,Best Variety Program,0,The Jackie Gleason Show,CBS
1953,Best Variety Program,0,Toast of the Town,CBS
1953,Best Variety Program,1,Your Show of Shows,NBC
1953,"Best Mystery, Action Or Adventure Program",1,Dragnet,NBC
1953,"Best Mystery, Action Or Adventure Program",0,Foreign Intrigue,SYN
1953,"Best Mystery, Action Or Adventure Program",0,"Martin Kane, Private Eye",NBC
1953,"Best Mystery, Action Or Adventure Program",0,Racket Squad,CBS
1953,Best Public Affairs Program,0,Camel News Caravan,NBC
1953,Best Public Affairs Program,0,Life Is Worth Living,DUMONT
1953,Best Public Affairs Program,0,Meet The Press,NBC
1953,Best Public Affairs Program,1,See It Now,CBS
1953,Best Public Affairs Program,0,Victory at Sea,NBC
1954,Best Male Star Of Regular Series,1,Donald O'Connor,Colgate Comedy Hour
1954,Best Male Star Of Regular Series,0,Jack Webb,Dragnet
1954,Best Male Star Of Regular Series,0,Wally Cox,Mr. Peepers
1954,Best Male Star Of Regular Series,0,Jackie Gleason,The Jackie Gleason Show
1954,Best Male Star Of Regular Series,0,Sid Caesar,Your Show of Shows
1954,Best Series Supporting Actor,0,Ben Alexander,Dragnet
1954,Best Series Supporting Actor,0,William Frawley,I Love Lucy
1954,Best Series Supporting Actor,0,Tony Randall,Mr. Peepers
1954,Best Series Supporting Actor,1,Art Carney,The Jackie Gleason Show
1954,Best Series Supporting Actor,0,Carl Reiner,Your Show of Shows
1954,Best Female Star Of Regular Series,0,Lucille Ball,I Love Lucy
1954,Best Female Star Of Regular Series,0,Loretta Young,Letter to Loretta
1954,Best Female Star Of Regular Series,1,Eve Arden,Our Miss Brooks
1954,Best Female Star Of Regular Series,0,Dinah Shore,The Dinah Shore Show
1954,Best Female Star Of Regular Series,0,Imogene Coca,Your Show of Shows
1954,Best Series Supporting Actress,1,Vivian Vance,I Love Lucy
1954,Best Series Supporting Actress,0,Marion Lorne,Mr. Peepers
1954,Best Series Supporting Actress,0,Bea Benedaret,The George Burns and Gracie Allen Show
1954,Best Series Supporting Actress,0,Audrey Meadows,The Jackie Gleason Show
1954,Best Series Supporting Actress,0,Ruth Gilbert,The Milton Berle Show
1954,"Best Audience Participation, Quiz Or Panel Program",0,I've Got a Secret,CBS
1954,"Best Audience Participation, Quiz Or Panel Program",1,This Is Your Life,NBC
1954,"Best Audience Participation, Quiz Or Panel Program",0,Two for the Money,CBS
1954,"Best Audience Participation, Quiz Or Panel Program",1,What's My Line?,CBS
1954,"Best Audience Participation, Quiz Or Panel Program",0,You Bet Your Life,NBC
1954,Best Children'S Program,0,Big Top,CBS
1954,Best Children'S Program,0,Ding Dong School,NBC
1954,Best Children'S Program,1,"Kukla, Fran & Ollie",NBC
1954,Best Children'S Program,0,Super Circus,NBC
1954,Best Children'S Program,0,Zoo Parade,NBC
1954,Best Situation Comedy,1,I Love Lucy,CBS
1954,Best Situation Comedy,0,Mr. Peepers,NBC
1954,Best Situation Comedy,0,Our Miss Brooks,CBS
1954,Best Situation Comedy,0,The George Burns and Gracie Allen Show,CBS
1954,Best Situation Comedy,0,Topper,CBS
1954,Best Program Of News Or Sports,0,Camel News Caravan,NBC
1954,Best Program Of News Or Sports,0,Gillette Cavalcade of Sports,NBC
1954,Best Program Of News Or Sports,0,NCAA Football Games,NBC
1954,Best Program Of News Or Sports,0,Pabst Blue Ribbon Bouts,CBS
1954,Best Program Of News Or Sports,0,Professional Football,DUMONT
1954,Best Program Of News Or Sports,1,See It Now,CBS
1954,Best Dramatic Program,0,Kraft Television Theatre,NBC
1954,Best Dramatic Program,0,Philco-Goodyear TV Playhouse,NBC
1954,Best Dramatic Program,0,Robert Montgomery Presents,NBC
1954,Best Dramatic Program,0,Studio One,CBS
1954,Best Dramatic Program,1,U.S. Steel Hour,ABC
1954,Best Variety Program,0,Your Show of Shows,NBC
1954,"Best Mystery, Action Or Adventure Program",1,Dragnet,NBC
1954,"Best Mystery, Action Or Adventure Program",0,Foreign Intrigue,NBC
1954,"Best Mystery, Action Or Adventure Program",0,I Led Three Lives,SYN
1954,"Best Mystery, Action Or Adventure Program",0,Suspense,CBS
1954,"Best Mystery, Action Or Adventure Program",0,The Web,CBS
1954,Best New Program,0,Adventure,CBS
1954,Best New Program,0,Ding Dong School,NBC
1954,Best New Program,0,Letter to Loretta,NBC
1954,Best New Program,1,Make Room for Daddy,ABC
1954,Best New Program,0,Person To Person,CBS
1954,Best New Program,1,U.S. Steel Hour,ABC
1954,Best Public Affairs Program,0,Adventure,CBS
1954,Best Public Affairs Program,0,Life Is Worth Living,SYN
1954,Best Public Affairs Program,0,Meet The Press,NBC
1954,Best Public Affairs Program,0,Person To Person,CBS
1954,Best Public Affairs Program,1,Victory at Sea,NBC
1955,Best Actor In A Single Performance,0,Frederic March,Best of Broadway
1955,Best Actor In A Single Performance,0,Thomas Mitchell,Ford Theatre
1955,Best Actor In A Single Performance,0,David Niven,Four Star Playhouse
1955,Best Actor In A Single Performance,0,Frank Lovejoy,Lux Video Theatre
1955,Best Actor In A Single Performance,0,Frederic March,Shower of Stars
1955,Best Actor In A Single Performance,1,Bob Cummings,Studio One
1955,Best Actress In A Single Performance,0,Dorothy McGuire,Climax
1955,Best Actress In A Single Performance,0,Ethel Barrymore,Climax
1955,Best Actress In A Single Performance,0,Claire Trevor,Lux Video Theatre
1955,Best Actress In A Single Performance,0,Ruth Hussey,Lux Video Theatre
1955,Best Actress In A Single Performance,1,Judith Anderson,Macbeth Hallmark Hall of Fame
1955,Best Actress In A Single Performance,0,Beverly Garland,Medic
1955,Best Actress In A Single Performance,0,Eva Marie Saint,Philco TV Playhouse
1955,Best Actor Starring In A Regular Series,0,Jack Webb,Dragnet
1955,Best Actor Starring In A Regular Series,1,DANNY THOMAS,Make Room for Daddy
1955,Best Actor Starring In A Regular Series,0,Richard Boone,Medic
1955,Best Actor Starring In A Regular Series,0,Bob Cummings,My Hero
1955,Best Actor Starring In A Regular Series,0,Jackie Gleason,The Jackie Gleason Show
1955,Best Supporting Actor In A Regular Series,0,Ben Alexander,Dragnet
1955,Best Supporting Actor In A Regular Series,0,William Frawley,I Love Lucy
1955,Best Supporting Actor In A Regular Series,0,Gale Gordon,Our Miss Brooks
1955,Best Supporting Actor In A Regular Series,0,Don DeFore,The Adventures of Ozzie and Harriet
1955,Best Supporting Actor In A Regular Series,1,Art Carney,The Jackie Gleason Show
1955,Best Actress Starring In A Regular Series,0,Lucille Ball,I Love Lucy
1955,Best Actress Starring In A Regular Series,0,Eve Arden,Our Miss Brooks
1955,Best Actress Starring In A Regular Series,0,Ann Sothern,Private Secretary
1955,Best Actress Starring In A Regular Series,0,Gracie Allen,The George Burns and Gracie Allen Show
1955,Best Actress Starring In A Regular Series,1,Loretta Young,The Loretta Young Show
1955,Best Supporting Actress In A Regular Series,0,Vivian Vance,I Love Lucy
1955,Best Supporting Actress In A Regular Series,0,Jean Hagen,Make Room for Daddy
1955,Best Supporting Actress In A Regular Series,0,Marion Lorne,Mr. Peepers
1955,Best Supporting Actress In A Regular Series,0,Bea Benedaret,The George Burns and Gracie Allen Show
1955,Best Supporting Actress In A Regular Series,1,Audrey Meadows,The Jackie Gleason Show
1955,Best Art Direction Of A Filmed Show,0,Four Star Playhouse,CBS
1955,Best Art Direction Of A Filmed Show,0,Schlitz Playhouse of Stars,CBS
1955,Best Art Direction Of A Filmed Show,1,Shower of Stars,CBS
1955,Best Art Direction Of A Filmed Show,0,The Adventures of Ozzie and Harriet,ABC
1955,Best Art Direction Of A Filmed Show,0,The Ray Bolger Show,ABC
1955,Best Art Direction Of A Live Show,0,Climax,CBS
1955,Best Art Direction Of A Live Show,0,Shower of Stars,CBS
1955,Best Art Direction Of A Live Show,0,Space Patrol,ABC
1955,Best Art Direction Of A Live Show,0,The Dinah Shore Show,NBC
1955,Best Art Direction Of A Live Show,1,You Are There,CBS
1955,"Best Audience, Guest Participation Or Panel Program",0,Masquerade Party,ABC
1955,"Best Audience, Guest Participation Or Panel Program",0,People are Funny,NBC
1955,"Best Audience, Guest Participation Or Panel Program",1,This Is Your Life,NBC
1955,"Best Audience, Guest Participation Or Panel Program",0,What's My Line?,CBS
1955,"Best Audience, Guest Participation Or Panel Program",0,You Bet Your Life,NBC
1955,Best Children'S Program,0,"Kukla, Fran & Ollie",ABC
1955,Best Children'S Program,1,Lassie,CBS
1955,Best Children'S Program,0,Time for Beany,SYN
