movie_title,director_name,color,duration,actor_1_name,language,country,title_year
Avatar,James Cameron,Color,178,CCH Pounder,English,USA,2009
Pirates of the Caribbean: At World's End,Gore Verbinski,Color,169,Johnny Depp,English,USA,2007
Spectre,Sam Mendes,Color,148,Christoph Waltz,English,UK,2015
The Dark Knight Rises,Christopher Nolan,Color,164,Tom Hardy,English,USA,2012
Star Wars: Episode VII - The Force Awakens,JJ Abrams,Color,136,Harrison Ford,English,USA,2015
John Carter,Andrew Stanton,Color,132,Daryl Sabara,English,USA,2012
Spider-Man 3,Sam Raimi,Color,156,J.K. Simmons,English,USA,2007
Tangled,Nathan Greno,Color,100,Brad Garrett,English,USA,2010
Avengers: Age of Ultron,Joss Whedon,Color,141,Chris Hemsworth,English,USA,2015
Harry Potter and the Half-Blood Prince,David Yates,Color,153,Alan Rickman,English,UK,2009
Batman v Superman: Dawn of Justice,Zack Snyder,Color,183,Henry Cavill,English,USA,2016
Superman Returns,Bryan Singer,Color,169,Kevin Spacey,English,USA,2006
Quantum of Solace,Marc Forster,Color,106,Giancarlo Giannini,English,UK,2008
Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Color,151,Johnny Depp,English,USA,2006
The Lone Ranger,Gore Verbinski,Color,150,Johnny Depp,English,USA,2013
Man of Steel,Zack Snyder,Color,143,Henry Cavill,English,USA,2013
The Chronicles of Narnia: Prince Caspian,Andrew Adamson,Color,150,Peter Dinklage,English,USA,2008
The Avengers,Joss Whedon,Color,173,Chris Hemsworth,English,USA,2012
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,Color,136,Johnny Depp,English,USA,2011
Men in Black 3,Barry Sonnenfeld,Color,106,Will Smith,English,USA,2012
The Hobbit: The Battle of the Five Armies,Peter Jackson,Color,164,Aidan Turner,English,New Zealand,2014
The Amazing Spider-Man,Marc Webb,Color,153,Emma Stone,English,USA,2012
Robin Hood,Ridley Scott,Color,156,Mark Addy,English,USA,2010
The Hobbit: The Desolation of Smaug,Peter Jackson,Color,186,Aidan Turner,English,USA,2013
The Golden Compass,Chris Weitz,Color,113,Christopher Lee,English,USA,2007
King Kong,Peter Jackson,Color,201,Naomi Watts,English,New Zealand,2005
Titanic,James Cameron,Color,194,Leonardo DiCaprio,English,USA,1997
Captain America: Civil War,Anthony Russo,Color,147,Robert Downey Jr.,English,USA,2016
Battleship,Peter Berg,Color,131,Liam Neeson,English,USA,2012
Jurassic World,Colin Trevorrow,Color,124,Bryce Dallas Howard,English,USA,2015
Skyfall,Sam Mendes,Color,143,Albert Finney,English,UK,2012
Spider-Man 2,Sam Raimi,Color,135,J.K. Simmons,English,USA,2004
Iron Man 3,Shane Black,Color,195,Robert Downey Jr.,English,USA,2013
Alice in Wonderland,Tim Burton,Color,108,Johnny Depp,English,USA,2010
X-Men: The Last Stand,Brett Ratner,Color,104,Hugh Jackman,English,Canada,2006
Monsters University,Dan Scanlon,Color,104,Steve Buscemi,English,USA,2013
Transformers: Revenge of the Fallen,Michael Bay,Color,150,Glenn Morshower,English,USA,2009
Transformers: Age of Extinction,Michael Bay,Color,165,Bingbing Li,English,USA,2014
Oz the Great and Powerful,Sam Raimi,Color,130,Tim Holmes,English,USA,2013
The Amazing Spider-Man 2,Marc Webb,Color,142,Emma Stone,English,USA,2014
TRON: Legacy,Joseph Kosinski,Color,125,Jeff Bridges,English,USA,2010
Cars 2,John Lasseter,Color,106,Joe Mantegna,English,USA,2011
Green Lantern,Martin Campbell,Color,123,Ryan Reynolds,English,USA,2011
Toy Story 3,Lee Unkrich,Color,103,Tom Hanks,English,USA,2010
Terminator Salvation,McG,Color,118,Christian Bale,English,USA,2009
Furious 7,James Wan,Color,140,Jason Statham,English,USA,2015
World War Z,Marc Forster,Color,123,Peter Capaldi,English,USA,2013
X-Men: Days of Future Past,Bryan Singer,Color,149,Jennifer Lawrence,English,USA,2014
Star Trek Into Darkness,J.J. Abrams,Color,132,Benedict Cumberbatch,English,USA,2013
Jack the Giant Slayer,Bryan Singer,Color,114,Eddie Marsan,English,USA,2013
The Great Gatsby,Baz Luhrmann,Color,143,Leonardo DiCaprio,English,Australia,2013
Prince of Persia: The Sands of Time,Mike Newell,Color,116,Jake Gyllenhaal,English,USA,2010
Pacific Rim,Guillermo del Toro,Color,131,Charlie Hunnam,English,USA,2013
Transformers: Dark of the Moon,Michael Bay,Color,154,Glenn Morshower,English,USA,2011
Indiana Jones and the Kingdom of the Crystal Skull,Steven Spielberg,Color,122,Harrison Ford,English,USA,2008
The Good Dinosaur,Peter Sohn,Color,93,A.J. Buckley,English,USA,2015
Brave,Mark Andrews,Color,93,Kelly Macdonald,English,USA,2012
Star Trek Beyond,Justin Lin,Color,122,Sofia Boutella,English,USA,2016
WALL·E,Andrew Stanton,Color,98,John Ratzenberger,English,USA,2008
Rush Hour 3,Brett Ratner,Color,91,Tzi Ma,English,USA,2007
2012,Roland Emmerich,Color,158,Oliver Platt,English,USA,2009
A Christmas Carol,Robert Zemeckis,Color,96,Robin Wright,English,USA,2009
Jupiter Ascending,Lana Wachowski,Color,127,Channing Tatum,English,USA,2015
The Legend of Tarzan,David Yates,Color,110,Christoph Waltz,English,USA,2016
X-Men: Apocalypse,Bryan Singer,Color,144,Jennifer Lawrence,English,USA,2016
The Dark Knight,Christopher Nolan,Color,152,Christian Bale,English,USA,2008
Up,Pete Docter,Color,96,John Ratzenberger,English,USA,2009
Monsters vs. Aliens,Rob Letterman,Color,94,Amy Poehler,English,USA,2009
Iron Man,Jon Favreau,Color,126,Robert Downey Jr.,English,USA,2008
Hugo,Martin Scorsese,Color,126,Chloë Grace Moretz,English,USA,2011
Wild Wild West,Barry Sonnenfeld,Color,106,Will Smith,English,USA,1999
The Mummy: Tomb of the Dragon Emperor,Rob Cohen,Color,112,Jet Li,English,USA,2008
Suicide Squad,David Ayer,Color,123,Will Smith,English,USA,2016
Evan Almighty,Tom Shadyac,Color,96,Jimmy Bennett,English,USA,2007
Edge of Tomorrow,Doug Liman,Color,113,Tom Cruise,English,USA,2014
Waterworld,Kevin Reynolds,Color,176,Jeanne Tripplehorn,English,USA,1995
G.I. Joe: The Rise of Cobra,Stephen Sommers,Color,118,Joseph Gordon-Levitt,English,USA,2009
Inside Out,Pete Docter,Color,95,Amy Poehler,English,USA,2015
The Jungle Book,Jon Favreau,Color,106,Scarlett Johansson,English,UK,2016
