MID,message,category
0,7am everyday,reminders
1,chocolate cake,food
2,closed mortice and tenon joint door dimentions,support
3,train eppo kelambum,travel
4,yesterday i have cancelled the flight ticket,travel
5,chamge it to 12pm to 9pm,travel
6,i want too going rajasthan,travel
7,room,travel
8,can you please arrange flight tickets?,travel
9,what kind of reminder,reminders
10,jamshedpur jharkhand,nearby
11,noidaa secot 44,food
12,no flight of spicejet,travel
13,or uber,travel
14,3.3.17,travel
15,why fare so high,travel
16,i have to know about train running from jalgaon to pune,travel
17,pls send current status of my train ticket,travel
18,yes i've got the reminder now,reminders
19,please wake me up today at 6am,reminders
20,"patli to aligarh 	train in this week",travel
21,can you look up for some flight options for me ?,travel
22,what about my thrursday reminder?,reminders
23,for reminding me,reminders
24,payment were made through ola money,travel
25,silchar guwahati,travel
26,five people,food
27,"		i would like to cancel my wake up call for sun, 05 march at 05:00 am { reminder_list: 708936, user_id: 1982962, task_name: wakeup, offset: 0, api_name: exotel }",reminders
28,"hey, can you find me the nearest medical store?{task}",nearby
29,please  details of  train  no 12630,travel
30,9761004710,reminders
31,for information,reminders
32,within one & half hour,reminders
33,any cashback on train booking?,travel
34,i need to u contact,food
35,canara bank atm,reminders
36,"		i would like to cancel my `wish soni happy birthday!` reminder for tue, 06 february at 10:00 am { reminder_list: 659272, user_id: 1968352, task_name: birthday, offset: 0, api_name: exotel }",reminders
37,i. looking for an railway reservation ticket counter,travel
38,train no:11058,travel
39,for march 3rd morning 7am,reminders
40,i want to pay my phone bill,recharge
41,already just now i recharged through haptik,recharge
42,i would like to cancel 1 more reminder,reminders
43,please book the train tickets,travel
44,2 ac,travel
45,where's  my cashback,travel
46,thalassery,food
47,i need to order 2 birthday cakes.,food
48,nearest dominos,nearby
49,my pickup is -,travel
50,mini,travel
51,airtel number,recharge
52,cash back is there know ?,recharge
53,set another reminder {type: anniversary},reminders
54,"i want to know reminder of birthday is for once or every year,??",reminders
55,i need driver,support
56,is there any physiotherapy available for home service near me,nearby
57,may i pay punjab state electricity bill,recharge
58,you have cheeted me i asked for alaram mng 3.30,reminders
59,then what can i do. that you find my shop for someone,nearby
60,another station,travel
61,near by historical sites,nearby
62,i want an iob atm,nearby
63,can i apply referal code for ride,travel
64,bars near tarnaka,nearby
65,what is a rated?,movies
66,pls cancel,reminders
67,"i would like to cancel my drink water reminder reminder for everyday at every 1 hour from 10:00 am to 8:00 pm. { reminder_list: 610916, user_id: 1955133, task_name: drink_water, offset: 0, api_name: exotel }",reminders
68,i need to know which airlines is the cheapest kolkata to jaipur,travel
69,can you stop the reminder set for drinking water,reminders
70,is there12591 gop express  train on 5march at 3pm,travel
71,07-03-2017,reminders
72,plz send me some discount coupon for electricity bill,recharge
73,near nimhans hospital,food
74,the offer valid for telangana state r not,nearby
75,in bhwn eyes specialist hospital,nearby
76,i will give feedback after your reminder performance,reminders
77,citi bank atm i need,nearby
78,udaipur train schedule from jaipur,travel
79,how far is filmcity gate no. 7 from goregaav local railway station,nearby
80,are not any cabs available????,travel
81,no cashback??,travel
82,tell me nearby places to visit for birthday celebration,travel
83,hi can you please turn off the reminder i don't need it anymore anyway,reminders
84,i hv a child wid me,travel
85,remind me of an appointment,reminders
86,reschedule it,reminders
87,i don't need train..,travel
88,"		i would like to cancel my drink water reminder reminder for sat, 04 march at every 1 hour from 9:30 am to 6:30 pm. { reminder_list: 658338-658339-658340-658341-658342-658343, user_id: 1822150, task_name: drink_water, offset: 0, api_name: exotel }",reminders
89,"		i would like to cancel my wake up call for everyday at 06:00 am { reminder_list: 682755, user_id: 1977090, task_name: wakeup, offset: 0, api_name: exotel }",reminders
90,evryday,reminders
91,from tirupathi to hyderabad on 8th march ..2 adults 1 infant having 1 month age,travel
92,from rosewood restaurant dange chowk,food
93,give me my last ticket pnr,travel
94,today at 7pm,travel
95,check in another date,travel
96,stop water reminders,reminders
97,i want to book a cab,travel
98,remind me to apply for sbi po exam on monday tomorrow 6 pm,reminders
